epoch,train_loss,val_loss,lr,weight_decay
16,0.23399119094263063,0.23540273561904376,2e-05,0.015
17,0.2290778842741433,0.23475326829190765,2e-05,0.015
18,0.22496752530865918,0.23288100809826479,2e-05,0.015
19,0.22040068086877568,0.22848505237103475,2e-05,0.015
20,0.21707985504675323,0.22562827140201705,2e-05,0.015
21,0.21351049839373068,0.22423500546931543,2e-05,0.015
22,0.2102330224927365,0.22930632927757386,2e-05,0.0225
23,0.20776657012581157,0.2235798220803308,2e-05,0.0225
24,0.20484620643491053,0.21911318635132598,2e-05,0.0225
25,0.20209710362035474,0.22195734464889996,2e-05,0.03375
26,0.2003284583191479,0.2177953733687664,2e-05,0.03375
27,0.1971460473624303,0.21855480378106623,2e-05,0.050625
28,0.19382053548449824,0.22122627023801014,1e-05,0.0759375
29,0.18444061737496997,0.21614122775129296,1e-05,0.0759375
30,0.18130462534897454,0.21360442385730613,1e-05,0.0759375
